package_name,version,role,declared_in,usage_tier,files_with_import,import_edges,distinct_import_paths,top_import_paths
async-channel,1.9.0,transitive,,transitive-only,0,0,0,
async-channel,2.5.0,transitive,,transitive-only,0,0,0,
async-compression,0.4.42,transitive,,transitive-only,0,0,0,
async-executor,1.14.0,transitive,,transitive-only,0,0,0,
async-global-executor,2.4.1,transitive,,transitive-only,0,0,0,
async-io,2.6.0,transitive,,transitive-only,0,0,0,
async-lock,3.4.2,transitive,,transitive-only,0,0,0,
async-object-pool,0.1.5,transitive,,transitive-only,0,0,0,
async-process,2.5.0,transitive,,transitive-only,0,0,0,
async-recursion,1.1.1,transitive,,transitive-only,0,0,0,
async-signal,0.2.14,transitive,,transitive-only,0,0,0,
async-std,1.13.2,transitive,,transitive-only,0,0,0,
async-stream,0.3.6,transitive,,transitive-only,0,0,0,
async-stream-impl,0.3.6,transitive,,transitive-only,0,0,0,
async-task,4.7.1,transitive,,transitive-only,0,0,0,
async-trait,0.1.89,direct,"cortex-graph,cortex-pipeline,cortex-vector",source-referenced,6,12,2,async_trait::async_trait | async_trait::async_trait
async_cell,0.2.3,transitive,,transitive-only,0,0,0,
atoi,2.0.0,transitive,,transitive-only,0,0,0,
atomic-waker,1.1.2,transitive,,transitive-only,0,0,0,
autocfg,1.5.1,transitive,,transitive-only,0,0,0,
aws-lc-rs,1.17.0,transitive,,transitive-only,0,0,0,
aws-lc-sys,0.41.0,transitive,,transitive-only,0,0,0,
axum,0.8.9,direct,cortex-mcp,source-referenced,1,26,26,"axum:: | axum:: {Router, routing::any_service} | axum::extract::Extension | axum::extract::Request | axum::extract::ws:: | axum::extract::ws:: {Message, WebSocket, WebSocketUpgrade} | axum::http:: | axum::http:: {HeaderMap, StatusCode} | axum::middleware:: | axum::middleware:: {Next, from_fn}"
axum-core,0.5.6,transitive,,transitive-only,0,0,0,
backoff,0.4.0,transitive,,transitive-only,0,0,0,
backon,1.6.0,transitive,,transitive-only,0,0,0,
base64,0.21.7,transitive,,transitive-only,0,0,0,
base64,0.22.1,transitive,,transitive-only,0,0,0,
basic-cookies,0.1.5,transitive,,transitive-only,0,0,0,
bigdecimal,0.4.10,transitive,,transitive-only,0,0,0,
bincode,2.0.1,transitive,,transitive-only,0,0,0,
bincode_derive,2.0.1,transitive,,transitive-only,0,0,0,
bindgen,0.72.1,transitive,,transitive-only,0,0,0,
bit-set,0.5.3,transitive,,transitive-only,0,0,0,
bit-set,0.8.0,transitive,,transitive-only,0,0,0,
bit-vec,0.6.3,transitive,,transitive-only,0,0,0,
bit-vec,0.8.0,transitive,,transitive-only,0,0,0,
bitflags,1.3.2,transitive,,transitive-only,0,0,0,
bitflags,2.11.1,transitive,,transitive-only,0,0,0,
bitpacking,0.9.3,transitive,,transitive-only,0,0,0,
bitvec,1.0.1,transitive,,transitive-only,0,0,0,
blake2,0.10.6,transitive,,transitive-only,0,0,0,
blake3,1.8.5,direct,cortex-indexer,direct-no-source-imports,0,0,0,
block-buffer,0.10.4,transitive,,transitive-only,0,0,0,
blocking,1.6.2,transitive,,transitive-only,0,0,0,
bollard,0.20.2,transitive,,transitive-only,0,0,0,
bollard-buildkit-proto,0.7.0,transitive,,transitive-only,0,0,0,
bollard-stubs,1.52.1-rc.29.1.3,transitive,,transitive-only,0,0,0,
bon,3.9.1,transitive,,transitive-only,0,0,0,
bon-macros,3.9.1,transitive,,transitive-only,0,0,0,
borrow-or-share,0.2.4,transitive,,transitive-only,0,0,0,
brotli,8.0.2,transitive,,transitive-only,0,0,0,
brotli-decompressor,5.0.0,transitive,,transitive-only,0,0,0,
bs58,0.5.1,transitive,,transitive-only,0,0,0,
bstr,1.12.1,transitive,,transitive-only,0,0,0,
bumpalo,3.20.3,transitive,,transitive-only,0,0,0,
bytecount,0.6.9,transitive,,transitive-only,0,0,0,
bytemuck,1.25.0,transitive,,transitive-only,0,0,0,
byteorder,1.5.0,transitive,,transitive-only,0,0,0,
bytes,1.11.1,transitive,,transitive-only,0,0,0,
cast,0.3.0,transitive,,transitive-only,0,0,0,
cc,1.2.62,transitive,,transitive-only,0,0,0,
census,0.4.2,transitive,,transitive-only,0,0,0,
cexpr,0.6.0,transitive,,transitive-only,0,0,0,
cfg-if,1.0.4,transitive,,transitive-only,0,0,0,
cfg_aliases,0.2.1,transitive,,transitive-only,0,0,0,
chacha20,0.10.0,transitive,,transitive-only,0,0,0,
chrono,0.4.44,direct,"cortex-core,cortex-graph,cortex-vector,cortex-watcher",direct-investigate-machete-mismatch,5,18,8,"chrono:: | chrono:: {DateTime, Utc} | chrono:: {DateTime, Duration, Utc} | chrono::Utc | chrono:: | chrono:: {DateTime, Utc} | chrono:: {DateTime, Duration, Utc} | chrono::Utc"
chrono-tz,0.8.6,transitive,,transitive-only,0,0,0,
chrono-tz,0.10.4,transitive,,transitive-only,0,0,0,
chrono-tz-build,0.2.1,transitive,,transitive-only,0,0,0,
ciborium,0.2.2,transitive,,transitive-only,0,0,0,
ciborium-io,0.2.2,transitive,,transitive-only,0,0,0,
ciborium-ll,0.2.2,transitive,,transitive-only,0,0,0,
clang-sys,1.8.1,transitive,,transitive-only,0,0,0,
clap,4.6.1,direct,cortex-cli,source-referenced,1,66,8,"clap::Parser | clap::CommandFactory | clap:: | clap:: {Args, CommandFactory, Parser, Subcommand, ValueEnum} | clap::Parser | clap::CommandFactory | clap:: | clap:: {Args, CommandFactory, Parser, Subcommand, ValueEnum}"
clap_builder,4.6.0,transitive,,transitive-only,0,0,0,
clap_complete,4.6.5,direct,cortex-cli,source-referenced,1,4,4,"clap_complete:: | clap_complete:: {Shell, generate} | clap_complete:: | clap_complete:: {Shell, generate}"
clap_derive,4.6.1,transitive,,transitive-only,0,0,0,
clap_lex,1.1.0,transitive,,transitive-only,0,0,0,
clipboard-win,5.4.1,transitive,,transitive-only,0,0,0,
cmake,0.1.58,transitive,,transitive-only,0,0,0,
colorchoice,1.0.5,transitive,,transitive-only,0,0,0,
combine,4.6.7,transitive,,transitive-only,0,0,0,
comfy-table,7.2.2,direct,cortex-cli,source-referenced,1,4,4,"comfy_table:: | comfy_table:: {Cell, Color, ContentArrangement, Table, presets::UTF8_FULL} | comfy_table:: | comfy_table:: {Cell, Color, ContentArrangement, Table, presets::UTF8_FULL}"
compression-codecs,0.4.38,transitive,,transitive-only,0,0,0,
compression-core,0.4.32,transitive,,transitive-only,0,0,0,
concurrent-queue,2.5.0,transitive,,transitive-only,0,0,0,
console,0.16.3,transitive,,transitive-only,0,0,0,
const-random,0.1.18,transitive,,transitive-only,0,0,0,
const-random-macro,0.1.16,transitive,,transitive-only,0,0,0,
constant_time_eq,0.4.2,transitive,,transitive-only,0,0,0,
core-foundation,0.9.4,transitive,,transitive-only,0,0,0,
core-foundation,0.10.1,transitive,,transitive-only,0,0,0,
core-foundation-sys,0.8.7,transitive,,transitive-only,0,0,0,
cpufeatures,0.2.17,transitive,,transitive-only,0,0,0,
cpufeatures,0.3.0,transitive,,transitive-only,0,0,0,
crc32fast,1.5.0,transitive,,transitive-only,0,0,0,
criterion,0.8.2,direct,"cortex-benches,cortex-parser",source-referenced,5,20,6,"criterion:: | criterion:: {BenchmarkId, Criterion, Throughput, black_box, criterion_group, criterion_main} | criterion:: {Criterion, criterion_group, criterion_main} | criterion:: | criterion:: {BenchmarkId, Criterion, Throughput, black_box, criterion_group, criterion_main} | criterion:: {Criterion, criterion_group, criterion_main}"
criterion-plot,0.8.2,transitive,,transitive-only,0,0,0,
crossbeam,0.8.4,transitive,,transitive-only,0,0,0,
crossbeam-channel,0.5.15,transitive,,transitive-only,0,0,0,
crossbeam-deque,0.8.6,transitive,,transitive-only,0,0,0,
crossbeam-epoch,0.9.18,transitive,,transitive-only,0,0,0,
crossbeam-queue,0.3.12,transitive,,transitive-only,0,0,0,
crossbeam-utils,0.8.21,transitive,,transitive-only,0,0,0,
crossterm,0.29.0,transitive,,transitive-only,0,0,0,
crossterm_winapi,0.9.1,transitive,,transitive-only,0,0,0,
crunchy,0.2.4,transitive,,transitive-only,0,0,0,
crypto-common,0.1.7,transitive,,transitive-only,0,0,0,
csv,1.4.0,transitive,,transitive-only,0,0,0,
csv-core,0.1.13,transitive,,transitive-only,0,0,0,
darling,0.23.0,transitive,,transitive-only,0,0,0,
darling_core,0.23.0,transitive,,transitive-only,0,0,0,
darling_macro,0.23.0,transitive,,transitive-only,0,0,0,
dashmap,6.2.1,direct,"cortex-mcp,cortex-watcher",source-referenced,3,6,2,dashmap::DashMap | dashmap::DashMap
data-encoding,2.11.0,transitive,,transitive-only,0,0,0,
datafusion,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-catalog,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-catalog-listing,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-common,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-common-runtime,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-datasource,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-datasource-arrow,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-datasource-csv,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-datasource-json,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-doc,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-execution,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-expr,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-expr-common,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-aggregate,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-aggregate-common,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-nested,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-table,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-window,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-functions-window-common,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-macros,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-optimizer,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-physical-expr,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-physical-expr-adapter,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-physical-expr-common,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-physical-optimizer,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-physical-plan,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-pruning,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-session,51.0.0,transitive,,transitive-only,0,0,0,
datafusion-sql,51.0.0,transitive,,transitive-only,0,0,0,
deadpool,0.9.5,transitive,,transitive-only,0,0,0,
deadpool-runtime,0.1.4,transitive,,transitive-only,0,0,0,
deepsize,0.2.0,transitive,,transitive-only,0,0,0,
deepsize_derive,0.1.2,transitive,,transitive-only,0,0,0,
delegate,0.10.0,transitive,,transitive-only,0,0,0,
deranged,0.5.8,transitive,,transitive-only,0,0,0,
dialoguer,0.12.0,direct,cortex-cli,source-referenced,1,4,4,"dialoguer:: | dialoguer:: {Confirm, Input, Select} | dialoguer:: | dialoguer:: {Confirm, Input, Select}"
digest,0.10.7,transitive,,transitive-only,0,0,0,
dirs,5.0.1,direct,cortex-indexer,direct-no-source-imports,0,0,0,
dirs,6.0.0,direct,cortex-indexer,direct-no-source-imports,0,0,0,
dirs-next,2.0.0,transitive,,transitive-only,0,0,0,
dirs-sys,0.4.1,transitive,,transitive-only,0,0,0,
dirs-sys,0.5.0,transitive,,transitive-only,0,0,0,
dirs-sys-next,0.1.2,transitive,,transitive-only,0,0,0,
displaydoc,0.2.6,transitive,,transitive-only,0,0,0,
docker_credential,1.4.0,transitive,,transitive-only,0,0,0,
document-features,0.2.12,transitive,,transitive-only,0,0,0,
dotenvy,0.15.7,direct,cortex-cli,direct-unused-candidate,0,0,0,
downcast-rs,2.0.2,transitive,,transitive-only,0,0,0,
dunce,1.0.5,transitive,,transitive-only,0,0,0,
dyn-clone,1.0.20,transitive,,transitive-only,0,0,0,
earcutr,0.4.3,transitive,,transitive-only,0,0,0,
either,1.16.0,transitive,,transitive-only,0,0,0,
email_address,0.2.9,transitive,,transitive-only,0,0,0,
ena,0.14.4,transitive,,transitive-only,0,0,0,
encode_unicode,1.0.0,transitive,,transitive-only,0,0,0,
encoding_rs,0.8.35,transitive,,transitive-only,0,0,0,
endian-type,0.1.2,transitive,,transitive-only,0,0,0,
equivalent,1.0.2,transitive,,transitive-only,0,0,0,
errno,0.3.14,transitive,,transitive-only,0,0,0,
error-code,3.3.2,transitive,,transitive-only,0,0,0,
etcetera,0.11.0,transitive,,transitive-only,0,0,0,
ethnum,1.5.3,transitive,,transitive-only,0,0,0,
event-listener,2.5.3,transitive,,transitive-only,0,0,0,
event-listener,5.4.1,transitive,,transitive-only,0,0,0,
event-listener-strategy,0.5.4,transitive,,transitive-only,0,0,0,
fallible-iterator,0.3.0,transitive,,transitive-only,0,0,0,
fallible-streaming-iterator,0.1.9,transitive,,transitive-only,0,0,0,
fancy-regex,0.17.0,transitive,,transitive-only,0,0,0,
fast-float2,0.2.3,transitive,,transitive-only,0,0,0,
fastdivide,0.4.2,transitive,,transitive-only,0,0,0,
fastrand,2.4.1,transitive,,transitive-only,0,0,0,
fd-lock,4.0.4,transitive,,transitive-only,0,0,0,
ferroid,2.0.0,transitive,,transitive-only,0,0,0,
filetime,0.2.29,transitive,,transitive-only,0,0,0,
find-msvc-tools,0.1.9,transitive,,transitive-only,0,0,0,
fixedbitset,0.4.2,transitive,,transitive-only,0,0,0,
fixedbitset,0.5.7,transitive,,transitive-only,0,0,0,
flatbuffers,25.12.19,transitive,,transitive-only,0,0,0,
flate2,1.1.9,transitive,,transitive-only,0,0,0,
float_next_after,1.0.0,transitive,,transitive-only,0,0,0,
fluent-uri,0.4.1,transitive,,transitive-only,0,0,0,
fnv,1.0.7,transitive,,transitive-only,0,0,0,
foldhash,0.1.5,transitive,,transitive-only,0,0,0,
foldhash,0.2.0,transitive,,transitive-only,0,0,0,
form_urlencoded,1.2.2,transitive,,transitive-only,0,0,0,
fraction,0.15.4,transitive,,transitive-only,0,0,0,
fs2,0.4.3,transitive,,transitive-only,0,0,0,
fs4,0.8.4,transitive,,transitive-only,0,0,0,
fs_extra,1.3.0,transitive,,transitive-only,0,0,0,
fsevent-sys,4.1.0,transitive,,transitive-only,0,0,0,
fsst,2.0.0,transitive,,transitive-only,0,0,0,
fst,0.4.7,transitive,,transitive-only,0,0,0,
funty,2.0.0,transitive,,transitive-only,0,0,0,
futures,0.3.32,direct,cortex-vector,source-referenced,1,4,2,futures::StreamExt | futures::StreamExt
futures-channel,0.3.32,transitive,,transitive-only,0,0,0,
futures-core,0.3.32,transitive,,transitive-only,0,0,0,
futures-executor,0.3.32,transitive,,transitive-only,0,0,0,
futures-io,0.3.32,transitive,,transitive-only,0,0,0,
futures-lite,2.6.1,transitive,,transitive-only,0,0,0,
futures-macro,0.3.32,transitive,,transitive-only,0,0,0,
futures-sink,0.3.32,transitive,,transitive-only,0,0,0,
futures-task,0.3.32,transitive,,transitive-only,0,0,0,
futures-timer,3.0.4,transitive,,transitive-only,0,0,0,
futures-util,0.3.32,direct,"cortex-cli,cortex-mcp",source-referenced,2,12,6,"futures_util:: | futures_util:: {SinkExt, StreamExt} | futures_util:: {SinkExt, StreamExt, future} | futures_util:: | futures_util:: {SinkExt, StreamExt} | futures_util:: {SinkExt, StreamExt, future}"
fxhash,0.2.1,transitive,,transitive-only,0,0,0,
generator,0.8.8,transitive,,transitive-only,0,0,0,
generic-array,0.14.7,transitive,,transitive-only,0,0,0,
geo,0.31.0,transitive,,transitive-only,0,0,0,
geo-traits,0.3.0,transitive,,transitive-only,0,0,0,
geo-types,0.7.19,transitive,,transitive-only,0,0,0,
geoarrow-array,0.7.0,transitive,,transitive-only,0,0,0,
geoarrow-expr-geo,0.7.0,transitive,,transitive-only,0,0,0,
geoarrow-schema,0.7.0,transitive,,transitive-only,0,0,0,
geodatafusion,0.2.0,transitive,,transitive-only,0,0,0,
geographiclib-rs,0.2.7,transitive,,transitive-only,0,0,0,
geohash,0.13.2,transitive,,transitive-only,0,0,0,
getrandom,0.2.17,transitive,,transitive-only,0,0,0,
getrandom,0.3.4,transitive,,transitive-only,0,0,0,
getrandom,0.4.2,transitive,,transitive-only,0,0,0,
glob,0.3.3,direct,"cortex-analyzer,cortex-cli",direct-no-source-imports,0,0,0,
globset,0.4.18,transitive,,transitive-only,0,0,0,
